Date,Apple,Adobe,Amazon,Blackberry,Disney,Ebay,Google,Hp,Ibm,Facebook,Microsoft,Twitter
1970-02-02,,,,,0.7360209822654724,,,0.3561219871044159,16.395793914794922,,,
1970-02-03,,,,,0.7360209822654724,,,0.35301700234413147,16.407743453979492,,,
1970-02-04,,,,,0.7462980151176453,,,0.348581999540329,16.407743453979492,,,
1970-02-05,,,,,0.7385900020599365,,,0.34193000197410583,16.192638397216797,,,
1970-02-06,,,,,0.7591429948806763,,,0.35745200514793396,16.479446411132812,,,
1970-02-09,,,,,0.7713450193405151,,,0.355677992105484,16.71845054626465,,,
1970-02-10,,,,,0.7655649781227112,,,0.3552350103855133,16.53919792175293,,,
1970-02-11,,,,,0.7976779937744141,,,0.35833901166915894,16.969406127929688,,,
1970-02-12,,,,,0.7758409976959229,,,0.3605560064315796,16.826004028320312,,,
1970-02-13,,,,,0.7809789776802063,,,0.3592259883880615,16.682600021362305,,,
1970-02-16,,,,,0.778410017490387,,,0.36987000703811646,16.694551467895508,,,
1970-02-17,,,,,0.7899709939956665,,,0.3680959939956665,16.71845054626465,,,
1970-02-18,,,,,0.804099977016449,,,0.37075701355934143,16.79015350341797,,,
1970-02-19,,,,,0.7983199954032898,,,0.34503400325775146,16.826004028320312,,,
1970-02-20,,,,,0.7867590188980103,,,0.34503400325775146,16.706501007080078,,,
1970-02-24,,,,,0.7732719779014587,,,0.347694993019104,16.46749496459961,,,
1970-02-25,,,,,0.7809789776802063,,,0.3512429893016815,16.491395950317383,,,
1970-02-26,,,,,0.7707030177116394,,,0.3512429893016815,16.45554542541504,,,
1970-02-27,,,,,0.7584999799728394,,,0.35390400886535645,16.264339447021484,,,
1970-03-02,,,,,0.7424439787864685,,,0.33749499917030334,16.03728485107422,,,
1970-03-03,,,,,0.7295989990234375,,,0.33616501092910767,15.929732322692871,,,
1970-03-04,,,,,0.7039089798927307,,,0.338824987411499,15.762428283691406,,,
1970-03-05,,,,,0.7103310227394104,,,0.3357209861278534,15.73852825164795,,,
1970-03-06,,,,,0.7026240229606628,,,0.3343909978866577,15.547323226928711,,,
1970-03-09,,,,,0.6782190203666687,,,0.3224160075187683,15.141013145446777,,,
1970-03-10,,,,,0.6717960238456726,,,0.32552099227905273,15.607074737548828,,,
1970-03-11,,,,,0.6884949803352356,,,0.32507699728012085,15.702676773071289,,,
1970-03-12,,,,,0.7026240229606628,,,0.32374700903892517,15.714627265930176,,,
1970-03-13,,,,,0.699413001537323,,,0.32374700903892517,15.49952220916748,,,
1970-03-16,,,,,0.6872100234031677,,,0.3228600025177002,15.296366691589355,,,
1970-03-17,,,,,0.7045509815216064,,,0.3308430016040802,15.41586971282959,,,
1970-03-18,,,,,0.7276719808578491,,,0.3312860131263733,15.40392017364502,,,
1970-03-19,,,,,0.7231760025024414,,,0.3259640038013458,15.409894943237305,,,
1970-03-20,,,,,0.7173960208892822,,,0.32108598947525024,15.284417152404785,,,
1970-03-23,,,,,0.7148270010948181,,,0.3139899969100952,15.391968727111816,,,
1970-03-24,,,,,0.7270299792289734,,,0.31221601366996765,15.678775787353516,,,
1970-03-25,,,,,0.7501509785652161,,,0.31753799319267273,15.917781829833984,,,
1970-03-26,,,,,0.7527199983596802,,,0.31753799319267273,15.929732322692871,,,
1970-03-30,,,,,0.7629960179328918,,,0.31310299038887024,16.097036361694336,,,
1970-03-31,,,,,0.7578579783439636,,,0.3139899969100952,16.180688858032227,,,
1970-04-01,,,,,0.7758409976959229,,,0.3219729959964752,16.14483642578125,,,
1970-04-02,,,,,0.772629976272583,,,0.32019901275634766,15.869980812072754,,,
1970-04-03,,,,,0.7809789776802063,,,0.3184249997138977,15.607074737548828,,,
1970-04-06,,,,,0.7565739750862122,,,0.2971380054950714,15.320267677307129,,,
1970-04-07,,,,,0.7321680188179016,,,0.29092898964881897,15.296366691589355,,,
1970-04-08,,,,,0.7238190174102783,,,0.2971380054950714,15.487571716308594,,,
1970-04-09,,,,,0.7167540192604065,,,0.2971380054950714,15.571224212646484,,,
1970-04-10,,,,,0.7084050178527832,,,0.30423301458358765,15.84607982635498,,,
1970-04-13,,,,,0.6929910182952881,,,0.30334600806236267,15.630974769592285,,,
1970-04-14,,,,,0.6968439817428589,,,0.3060069978237152,15.523423194885254,,,
1970-04-15,,,,,0.6987709999084473,,,0.298911988735199,15.45172119140625,,,
1970-04-16,,,,,0.6910640001296997,,,0.2900420129299164,15.332218170166016,,,
1970-04-17,,,,,0.6801459789276123,,,0.28738099336624146,15.41586971282959,,,
1970-04-20,,,,,0.6872100234031677,,,0.2856070101261139,15.51147174835205,,,
1970-04-21,,,,,0.6750069856643677,,,0.28383299708366394,15.344167709350586,,,
1970-04-22,,,,,0.6660159826278687,,,0.2723020017147064,14.961758613586426,,,
1970-04-23,,,,,0.655098021030426,,,0.2723020017147064,14.800430297851562,,,
1970-04-24,,,,,0.6345459818840027,,,0.27939799427986145,14.770553588867188,,,
1970-04-27,,,,,0.6043599843978882,,,0.27496299147605896,14.412046432495117,,,
1970-04-28,,,,,0.6159200072288513,,,0.2767370045185089,13.874282836914062,,,
1970-04-29,,,,,0.667943000793457,,,0.30866798758506775,14.352293968200684,,,
1970-04-30,,,,,0.6628050208091736,,,0.29092898964881897,14.244742393493652,,,
1970-05-01,,,,,0.6583089828491211,,,0.2927030026912689,14.184989929199219,,,
1970-05-04,,,,,0.6120669841766357,,,0.27052798867225647,13.527725219726562,,,
1970-05-05,,,,,0.5857340097427368,,,0.25899800658226013,13.527725219726562,,,
